bomba,cv,rpm,carcaca_motor,c_mm,A_mm,B_mm,Y_mm,V_mm,E_mm,H_mm,s_mm,T_mm,peso_kg,fonte
40-250,60,3500,225S/M,100,1500,610,150,1200,578,84,16,1366,527,Tabela dimensional base viga bombas GS
50-250,60,3500,225S/M,100,1500,610,150,1200,578,84,16,1366,529,Tabela dimensional base viga bombas GS
50-250,75,3500,225S/M,100,1500,610,150,1200,578,84,16,1366,559,Tabela dimensional base viga bombas GS
65-200,60,3500,225S/M,120,1500,610,150,1200,578,84,16,1366,526,Tabela dimensional base viga bombas GS
65-200,75,3500,225S/M,120,1500,610,150,1200,578,84,16,1366,556,Tabela dimensional base viga bombas GS
65-250,60,3500,225S/M,120,1500,610,150,1200,578,84,16,1476,552,Tabela dimensional base viga bombas GS
65-250,75,3500,225S/M,120,1500,610,150,1200,578,84,16,1476,582,Tabela dimensional base viga bombas GS
65-250,100,3500,250S/M,120,1650,610,150,1350,564,110,16,1584,670,Tabela dimensional base viga bombas GS
65-250,125,3500,280S/M,120,1650,610,150,1350,564,110,16,1745,922,Tabela dimensional base viga bombas GS
80-160,60,3500,225S/M,125,1500,610,150,1200,578,84,16,1391,525,Tabela dimensional base viga bombas GS
80-200,60,3500,225S/M,125,1500,610,150,1200,578,84,16,1501,546,Tabela dimensional base viga bombas GS
80-200,75,3500,225S/M,125,1500,610,150,1200,578,84,16,1501,576,Tabela dimensional base viga bombas GS
80-200,100,3500,250S/M,125,1650,610,150,1350,564,110,16,1609,664,Tabela dimensional base viga bombas GS
80-250,75,3500,225S/M,125,1500,610,150,1200,578,84,16,1501,586,Tabela dimensional base viga bombas GS
80-250,100,3500,250S/M,125,1650,610,150,1350,564,110,16,1609,674,Tabela dimensional base viga bombas GS
80-250,125,3500,280S/M,125,1650,610,150,1350,564,110,16,1770,926,Tabela dimensional base viga bombas GS
80-250,150,3500,280S/M,125,1650,610,150,1350,564,110,16,1735,940,Tabela dimensional base viga bombas GS
80-400,60,1750,225S/M,125,1500,610,150,1200,578,84,16,1591,672,Tabela dimensional base viga bombas GS
80-400,75,1750,225S/M,125,1500,610,150,1200,578,84,16,1611,699,Tabela dimensional base viga bombas GS
80-400,100,1750,250S/M,125,1650,610,150,1350,564,110,16,1689,815,Tabela dimensional base viga bombas GS
80-400,125,1750,280S/M,125,1650,610,150,1350,564,110,16,1795,988,Tabela dimensional base viga bombas GS
100-160,60,3500,225S/M,125,1500,610,150,1200,578,84,16,1501,570,Tabela dimensional base viga bombas GS
100-160,75,3500,225S/M,125,1500,610,150,1200,578,84,16,1501,600,Tabela dimensional base viga bombas GS
100-200,60,3500,225S/M,125,1500,610,150,1200,578,84,16,1501,582,Tabela dimensional base viga bombas GS
100-200,75,3500,225S/M,125,1500,610,150,1200,578,84,16,1501,617,Tabela dimensional base viga bombas GS
