modelo,grupo_suporte,dn1_mm,dn2_mm,f2_mm,h1_mm,h2_mm,b_mm,m1_mm,m2_mm,n1_mm,n2_mm,s1_mm,xd_mm,xc_mm,f1_mm,fonte
32-160.1,,50,32.0,80.0,132.0,160.0,50.0,100.0,70.0,,,,121.0,121.0,153.0,GSD desenho 406.1 folha 2 (rev. 10)
32-160,GSD/230,50.0,32.0,100.0,132.0,160.0,50.0,100.0,70.0,240.0,190.0,15.0,120.0,130.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
32-200,GSD/230,50.0,32.0,100.0,160.0,180.0,50.0,100.0,70.0,240.0,190.0,15.0,137.0,148.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
32-200.1,GSD/230,50.0,32.0,100.0,160.0,180.0,50.0,100.0,70.0,,,15.0,137.0,148.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
32-250,GSD/230,50.0,32.0,100.0,180.0,225.0,65.0,125.0,95.0,320.0,250.0,15.0,168.0,171.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
40-125,GSD/230,50.0,40.0,100.0,112.0,140.0,65.0,125.0,95.0,210.0,160.0,15.0,121.0,123.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
40-160,GSD/230,50.0,40.0,100.0,132.0,160.0,50.0,100.0,70.0,240.0,190.0,15.0,122.0,139.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
40-200,GSD/230,65.0,40.0,100.0,160.0,180.0,50.0,100.0,70.0,265.0,,15.0,142.0,159.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
40-250,GSD/230,65.0,40.0,100.0,180.0,225.0,65.0,125.0,95.0,320.0,250.0,15.0,168.0,176.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
40-315,GSD/240,65.0,40.0,125.0,225.0,250.0,65.0,125.0,95.0,345.0,280.0,15.0,205.0,210.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
50-125,GSD/240,65.0,50.0,125.0,132.0,160.0,65.0,125.0,95.0,240.0,190.0,15.0,121.0,146.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
50-160,GSD/230,65.0,50.0,100.0,160.0,180.0,50.0,100.0,70.0,265.0,212.0,15.0,127.0,149.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
50-200,GSD/230,65.0,50.0,100.0,160.0,200.0,50.0,100.0,70.0,265.0,212.0,15.0,143.0,163.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
50-250,GSD/230,65.0,50.0,100.0,180.0,225.0,65.0,125.0,95.0,320.0,250.0,15.0,168.0,184.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
50-315,GSD/240,65.0,50.0,125.0,225.0,280.0,65.0,125.0,95.0,345.0,280.0,15.0,205.0,220.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
65-125,GSD/240,80,65.0,125.0,160.0,180.0,65.0,125.0,95.0,280.0,212.0,15.0,140.0,159.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
65-160,GSD/230,80,65.0,100.0,160.0,200.0,65.0,125.0,95.0,280.0,212.0,15.0,146.0,,173.0,GSD desenho 406.1 folha 2 (rev. 10)
65-200,GSD/230,80.0,65.0,100.0,180.0,225.0,65.0,125.0,95.0,320.0,250.0,15.0,160.0,177.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
65-250,GSD/240,80.0,65.0,125.0,200.0,250.0,80.0,125.0,95.0,360.0,280.0,19.0,180.0,206.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
65-315,GSD/240,80.0,65.0,125.0,225.0,280.0,80.0,125.0,95.0,400.0,315.0,19.0,206.0,223.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
80-160,GSD/230,100,80.0,100.0,180.0,225.0,65.0,125.0,95.0,320.0,250.0,15.0,160.0,194.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
80-200,GSD/230,100,80.0,100.0,180.0,250.0,65.0,125.0,95.0,345.0,280.0,15.0,172.0,195.0,173.0,GSD desenho 406.1 folha 2 (rev. 10)
80-250,GSD/240,100.0,80.0,125.0,200.0,280.0,65.0,125.0,95.0,400.0,315.0,15.0,180.0,206.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
80-315,GSD/240,100.0,80.0,125.0,250.0,315.0,80.0,125.0,95.0,400.0,315.0,19.0,217.0,246.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
80-400,GSD/250,100.0,80.0,140.0,280.0,355.0,80.0,125.0,95.0,435.0,355.0,19.0,265.0,295.0,248.0,GSD desenho 406.1 folha 2 (rev. 10)
100-315L,GSD/250,125,100.0,140.0,250.0,315.0,80.0,125.0,95.0,,,19.0,213.0,228.0,248.0,GSD desenho 406.1 folha 2 (rev. 10)
100-400,GSD/250,125,100.0,140.0,280.0,355.0,100.0,125.0,95.0,,400.0,24.0,267.0,293.0,248.0,GSD desenho 406.1 folha 2 (rev. 10)
125-200,GSD/240,150,125.0,125.0,250.0,315.0,80.0,125.0,95.0,,315.0,24.0,200.0,246.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
125-250,GSD/240,150.0,125.0,125.0,250.0,355.0,80.0,125.0,95.0,,315.0,19.0,216.0,269.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
125-315,GSD/250,150.0,125.0,140.0,280.0,355.0,100.0,125.0,95.0,,400.0,19.0,250.0,283.0,248.0,GSD desenho 406.1 folha 2 (rev. 10)
125-400,GSD/250,150.0,125.0,140.0,315.0,400.0,100.0,125.0,95.0,,400.0,24.0,275.0,313.0,248.0,GSD desenho 406.1 folha 2 (rev. 10)
150-200,GSD/240,200,150.0,125.0,280.0,355.0,100.0,125.0,95.0,500.0,400.0,24.0,209.0,272.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
150-250,GSD/240,200,150.0,125.0,280.0,375.0,100.0,125.0,95.0,500.0,400.0,24.0,250.0,300.0,223.0,GSD desenho 406.1 folha 2 (rev. 10)
150-400,GSD/250,200.0,150.0,140.0,315.0,450.0,100.0,125.0,95.0,550.0,450.0,24.0,276.0,394.0,248.0,GSD desenho 406.1 folha 2 (rev. 10)
