tamanho,tamanho_folheto,polos,dn_succao_pol,dn_recalque_pol,carcaca_motor,cv,peso_kg,h1_mm,h2_mm,a_mm,h_mm,l_mm,b_mm,h3_mm,h4_mm,m1_mm,m2_mm,m3_mm,m4_mm,n1_mm,n2_mm,n3_mm,n4_mm,n5_mm,q_mm,r1_mm,s1_mm,s2_mm,t1_mm,t2_mm,w_mm,norma_flange,fonte
040-025-160,25-160,2,"1.1/2""","1""",90S,1.5,40,132,170,80,90,374,50,100,170,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
040-025-160,25-160,2,"1.1/2""","1""",90S,2,41,132,170,80,90,374,50,100,170,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
040-025-160,25-160,2,"1.1/2""","1""",90S,3,44,132,170,80,90,374,50,100,170,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
040-025-160,25-160,2,"1.1/2""","1""",90L,4,45,132,170,80,90,399,50,100,170,100,70,156,,240,190,140,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
040-025-160,25-160,2,"1.1/2""","1""",100L,5,54,132,170,80,100,425,50,100,170,100,70,173,,240,190,140,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
040-025-200,25-200,2,"1.1/2""","1""",90S,3,50,160,180,80,90,374,50,125,195,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
040-025-200,25-200,2,"1.1/2""","1""",90L,4,51,160,180,80,90,399,50,125,195,100,70,156,,240,190,140,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
040-025-200,25-200,2,"1.1/2""","1""",100L,5,60,160,180,80,100,425,50,125,195,100,70,173,,240,190,140,40,164,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
040-025-200,25-200,2,"1.1/2""","1""",112M,6,68,160,180,80,112,442,50,125,195,100,70,177,,240,190,140,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
040-025-200,25-200,2,"1.1/2""","1""",112M,7.5,71,160,180,80,112,442,50,125,195,100,70,177,,240,190,140,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
040-025-200,25-200,2,"1.1/2""","1""",132S,10,96,160,180,80,132,481,50,125,195,100,70,187,,240,190,140,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-125,32-125,2,"2""","1.1/4""",90S,2,39,112,140,80,90,374,50,100,160,100,70,131,,190,140,90,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-125,32-125,2,"2""","1.1/4""",90S,3,42,112,140,80,90,374,50,100,160,100,70,131,,190,140,90,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-125,32-125,2,"2""","1.1/4""",90L,4,43,112,140,80,90,399,50,100,160,100,70,156,,190,140,90,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-125,32-125,2,"2""","1.1/4""",100L,5,52,112,140,80,100,425,50,100,160,100,70,173,,190,140,90,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-125,32-125,2,"2""","1.1/4""",112M,6,60,112,140,80,112,442,50,100,160,100,70,177,,190,140,90,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-125,32-125,2,"2""","1.1/4""",112M,7.5,63,112,140,80,112,442,50,100,160,100,70,177,,190,140,90,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-125.1,32-125.1,2,"2""","1.1/4""",90S,1.5,39,112,140,80,90,374,50,100,160,100,70,131,,190,140,90,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-125.1,32-125.1,2,"2""","1.1/4""",90S,2,40,112,140,80,90,374,50,100,160,100,70,131,,190,140,90,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
