tamanho,rotor_mm,dn1_mm,dn2_mm,a_mm,f_mm,h1_mm,h2_mm,b_mm,g1_mm,g2_mm,l1_mm,m1_mm,m2_mm,m3_mm,n1_mm,n2_mm,n3_mm,n4_mm,s1_mm,s2_mm,v_mm,w_mm,d1_mm,l_mm,t_mm,u_mm,x_mm,iso_2858,fonte
25-150,150,32,25,73,397,112,160,50,15,6.35,41.35,100,70,66.35,190,140,152.4,110,14,14,100,297,24,50,26.9,8,100,0,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
25-200,200,40,25,90,385,160,175,50,15,6.35,41.35,100,70,66.35,240,190,152.4,110,14,14,100,285,24,50,26.9,8,100,0,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
32-125.1,125,50,32,80,385,112,140,50,15,6.35,41.35,100,70,66.35,190,140,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
32-160.1,160,50,32,80,385,132,160,50,15,6.35,41.35,100,70,66.35,240,190,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
32-200.1,200,50,32,80,385,160,180,50,15,6.35,41.35,100,70,66.35,240,190,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
32-250.1,250,50,32,100,500,180,225,65,18,9.52,39.52,125,95,64.52,320,250,152.4,110,14,14,130,370,32,80,35.3,10,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
32-125,125,50,32,80,385,112,140,50,15,6.35,41.35,100,70,66.35,190,140,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
32-160,160,50,32,80,385,132,160,50,15,6.35,41.35,100,70,66.35,240,190,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
32-200,200,50,32,80,385,160,180,50,15,6.35,41.35,100,70,66.35,240,190,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
32-250,250,50,32,100,500,180,225,65,18,9.52,39.52,125,95,64.52,320,250,152.4,110,14,14,130,370,32,80,35.3,10,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
40-125,125,65,40,80,385,112,140,50,15,6.35,41.35,100,70,66.35,210,160,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
40-160,160,65,40,80,385,132,160,50,15,6.35,41.35,100,70,66.35,240,190,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
40-200,200,65,40,100,385,160,180,50,15,6.35,41.35,100,70,66.35,265,212,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
40-250,250,65,40,100,500,180,225,65,18,9.52,39.52,125,95,64.52,320,250,152.4,110,14,14,130,370,32,80,35.3,10,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
40-315,315,65,40,125,500,200,250,65,18,9.52,39.52,125,95,64.52,345,280,152.4,110,14,14,130,370,32,80,35.3,10,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
50-125,125,80,50,100,385,132,160,50,15,6.35,41.35,100,70,66.35,240,190,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
50-160,160,80,50,100,385,160,180,50,15,6.35,41.35,100,70,66.35,265,212,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
50-200,200,80,50,100,385,160,200,50,15,6.35,41.35,100,70,66.35,265,212,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
50-250,250,80,50,125,500,180,225,65,18,9.52,39.52,125,95,64.52,320,250,152.4,110,14,14,130,370,32,80,35.3,10,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
50-315,315,80,50,125,500,225,280,65,18,9.52,39.52,125,95,64.52,345,280,152.4,110,14,14,130,370,32,80,35.3,10,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
65-125,125,100,65,100,385,160,180,65,18,6.35,41.35,125,95,66.35,280,212,152.4,110,14,14,100,285,24,50,26.9,8,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
65-160,160,100,65,100,500,160,200,65,18,9.52,39.52,125,95,64.52,280,212,152.4,110,14,14,130,370,32,80,35.3,10,100,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
65-200,200,100,65,100,500,180,225,65,18,9.52,39.52,125,95,64.52,320,250,152.4,110,14,14,130,370,32,80,35.3,10,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
65-250,250,100,65,125,500,200,250,80,19,9.52,39.52,160,120,64.52,360,280,152.4,110,18,14,130,370,32,80,35.3,10,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
65-315,315,100,65,125,530,225,280,80,19,9.52,36.52,160,120,61.52,400,315,152.4,110,18,14,160,370,42,110,45.1,12,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
