tamanho,dn1_mm,dn2_mm,carcaca_motor,a_mm,f_mm,h1_mm,h2_mm,base,h3_mm,H_mm,H1_mm,G1_mm,k_mm,E_mm,E1_mm,D1_mm,fonte
32-160,50,32,71,80,385,132,160,0501-B,197,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-160,50,32,80,80,385,132,160,0501-B,197,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-160,50,32,90,80,385,132,160,0501-B,197,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-160,50,32,100,80,385,132,160,0501-B,197,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-160,50,32,112,80,385,132,160,0501-B,197,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-160,50,32,132,80,385,132,160,0502-B,197,540,370,420,70,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-160.1,50,32,71,80,385,132,160,0501-B,197,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-160.1,50,32,80,80,385,132,160,0501-B,197,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-160.1,50,32,90,80,385,132,160,0501-B,197,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-160.1,50,32,100,80,385,132,160,0501-B,197,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-160.1,50,32,112,80,385,132,160,0501-B,197,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200,50,32,80,80,385,160,180,0501-B,225,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200,50,32,90,80,385,160,180,0501-B,225,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200,50,32,100,80,385,160,180,0501-B,225,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200,50,32,112,80,385,160,180,0501-B,225,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200,50,32,132,80,385,160,180,0502-B,225,540,370,420,70,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200.1,50,32,71,80,385,160,180,0501-B,225,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200.1,50,32,80,80,385,160,180,0501-B,225,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200.1,50,32,90,80,385,160,180,0501-B,225,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200.1,50,32,100,80,385,160,180,0501-B,225,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200.1,50,32,112,80,385,160,180,0501-B,225,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-200.1,50,32,132,80,385,160,180,0502-B,225,540,370,420,70,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250,50,32,90,100,500,180,225,0502-B,245,540,370,420,75,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250,50,32,100,100,500,180,225,0502-B,245,540,370,420,75,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250,50,32,112,100,500,180,225,0502-B,245,540,370,420,75,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250,50,32,132S,100,500,180,225,0502-B,245,540,370,420,75,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250,50,32,132M,100,500,180,225,0503-B,245,660,490,540,75,1370,750,1250,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250,50,32,160,100,500,180,225,0503-B,245,660,490,540,75,1370,750,1250,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250,50,32,180,100,500,180,225,0503-B,245,660,490,540,75,1370,750,1250,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250,50,32,200,100,500,180,225,0503-B,265,660,490,540,75,1370,750,1250,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250,50,32,225,100,500,180,225,0503-B,290,660,490,540,75,1370,750,1250,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250.1,50,32,90,100,500,180,225,0502-B,245,540,370,420,75,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250.1,50,32,100,100,500,180,225,0502-B,245,540,370,420,75,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250.1,50,32,112,100,500,180,225,0502-B,245,540,370,420,75,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250.1,50,32,132S,100,500,180,225,0502-B,245,540,370,420,75,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250.1,50,32,132M,100,500,180,225,0503-B,245,660,490,540,75,1370,750,1250,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
32-250.1,50,32,160,100,500,180,225,0503-B,245,660,490,540,75,1370,750,1250,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-125,65,40,71,80,385,112,140,0501-B,177,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-125,65,40,80,80,385,112,140,0501-B,177,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-125,65,40,90,80,385,112,140,0501-B,177,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-125,65,40,100,80,385,112,140,0501-B,177,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-125,65,40,112,80,385,112,140,0501-B,177,500,330,380,70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-125,65,40,132,80,385,112,140,0502-B,197,540,370,420,70,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-160,65,40,71,80,385,132,160,,--,--,--,--,,--,--,--,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-160,65,40,80,80,385,132,160,0501-B,197,500,330,380,--70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-160,65,40,90,80,385,132,160,0501-B,197,500,330,380,--70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-160,65,40,100,80,385,132,160,0501-B,197,500,330,380,--70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-160,65,40,112,80,385,132,160,0501-B,197,500,330,380,--70,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-160,65,40,132,80,385,132,160,0502-B,197,540,370,420,--70,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-160,65,40,160,80,385,132,160,0502-B,225,540,370,420,--70,1170,610,1050,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-200,65,40,80,100,385,160,180,0501-B,225,500,330,380,75,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-200,65,40,90,100,385,160,180,0501-B,225,500,330,380,75,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
40-200,65,40,100,100,385,160,180,0501-B,225,500,330,380,75,970,450,850,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
