fonte,familia,variante,dn_pol,dn_menor_pol,significado,valor_mm,amostras,divergentes
IRRIGAFOUR,ADAPTADOR_ESPIGAO,,3,,face_a_face_mm,300,1,0
IRRIGAFOUR,ADAPTADOR_ESPIGAO,,4,,face_a_face_mm,300,1,0
IRRIGAFOUR,ADAPTADOR_ESPIGAO,,5,,face_a_face_mm,300,1,0
IRRIGAFOUR,ADAPTADOR_ESPIGAO,,6,,face_a_face_mm,300,1,0
IRRIGAFOUR,ADAPTADOR_ESPIGAO,,8,,face_a_face_mm,300,1,0
IRRIGAFOUR,ANCORAGEM,,4,,comprimento_mm,640,1,0
IRRIGAFOUR,ANCORAGEM,,5,,comprimento_mm,640,1,0
IRRIGAFOUR,ANCORAGEM,,6,,comprimento_mm,640,2,0
IRRIGAFOUR,ANCORAGEM,,8,,comprimento_mm,720,1,0
IRRIGAFOUR,ANCORAGEM,,10,,comprimento_mm,960,1,0
IRRIGAFOUR,ANCORAGEM,,12,,comprimento_mm,1050,1,0
IRRIGAFOUR,ANCORAGEM,,16,,comprimento_mm,1300,1,0
IRRIGAFOUR,ANCORAGEM,,18,,comprimento_mm,1300,1,0
IRRIGAFOUR,ANCORAGEM,,20,,comprimento_mm,1500,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,3,,altura_mm,600,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,4,,altura_mm,600,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,5,,altura_mm,600,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,6,,altura_mm,600,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,8,,altura_mm,600,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,10,,altura_mm,600,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,12,,altura_mm,600,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,14,,altura_mm,600,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,16,,altura_mm,600,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,18,,altura_mm,600,1,0
IRRIGAFOUR,ANCORAGEM_MEIA_LUA,,20,,altura_mm,600,1,0
IRRIGAFOUR,ARTICULADOR,,3,,comprimento_mm,900,1,0
IRRIGAFOUR,ARTICULADOR,,4,,comprimento_mm,900,1,0
IRRIGAFOUR,ARTICULADOR,,5,,comprimento_mm,900,1,0
IRRIGAFOUR,ARTICULADOR,,6,,comprimento_mm,900,1,0
IRRIGAFOUR,ARTICULADOR,,8,,comprimento_mm,900,1,0
IRRIGAFOUR,ARTICULADOR,,10,,comprimento_mm,900,1,0
IRRIGAFOUR,ARTICULADOR,,12,,comprimento_mm,900,1,0
IRRIGAFOUR,ARTICULADOR,,14,,comprimento_mm,900,1,0
IRRIGAFOUR,ARTICULADOR,,16,,comprimento_mm,900,1,0
IRRIGAFOUR,CRIVO,cesto,2,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,2.5,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,3,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,4,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,5,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,6,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,8,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,10,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,12,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,14,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,16,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,18,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,20,,comprimento_mm,300,1,0
IRRIGAFOUR,CRIVO,cesto,24,,comprimento_mm,350,1,0
IRRIGAFOUR,CRIVO,cesto,28,,comprimento_mm,400,1,0
IRRIGAFOUR,CRIVO,cesto,32,,comprimento_mm,500,1,0
IRRIGAFOUR,CRIVO,cesto,36,,comprimento_mm,600,1,0
IRRIGAFOUR,CRUZETA,,2,,face_a_face_mm,500,1,0
IRRIGAFOUR,CRUZETA,,2,,derivacao_mm,500,1,0
IRRIGAFOUR,CRUZETA,,2.5,,face_a_face_mm,500,1,0
IRRIGAFOUR,CRUZETA,,2.5,,derivacao_mm,500,1,0
IRRIGAFOUR,CRUZETA,,3,,face_a_face_mm,500,1,0
IRRIGAFOUR,CRUZETA,,3,,derivacao_mm,500,1,0
IRRIGAFOUR,CRUZETA,,4,,face_a_face_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,4,,derivacao_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,5,,face_a_face_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,5,,derivacao_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,6,,face_a_face_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,6,,derivacao_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,8,,face_a_face_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,8,,derivacao_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,10,,face_a_face_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,10,,derivacao_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,12,,face_a_face_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,12,,derivacao_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,14,,face_a_face_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,14,,derivacao_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,16,,face_a_face_mm,1000,1,0
IRRIGAFOUR,CRUZETA,,16,,derivacao_mm,1000,1,0
