arquivo,nome,largura_mm,altura_mm,x_mm,y_mm,entidades,camadas,fonte
pecas_CAD.dxf,KSB 200-150-315 100CV,1799.5,832.8,16316.1,-5232.3,4398,MOTOBOMBA,DXF da casa: pecas_CAD.dxf
pecas_CAD.dxf,,582.0,1897.8,21516.4,-6457.2,21144,0,DXF da casa: pecas_CAD.dxf
pecas_CAD.dxf,,519.9,2664.0,20737.6,-7269.7,15360,0,DXF da casa: pecas_CAD.dxf
pecas_CAD.dxf,"4"" 3"" 3"" 4""",500.0,1160.3,19112.6,-5878.4,174,0 eixo,DXF da casa: pecas_CAD.dxf
pecas_CAD.dxf,METB 200-150-250 50cv,949.7,655.0,14613.6,-5275.8,7796,MOTOBOMBA,DXF da casa: pecas_CAD.dxf
pecas_CAD.dxf,"4"" 90º",184.0,447.6,19287.3,-6501.0,312,0 PDF_Geometry,DXF da casa: pecas_CAD.dxf
pecas_CAD.dxf,,582.5,1081.8,21515.9,-7606.0,10572,0,DXF da casa: pecas_CAD.dxf
pecas_CAD.dxf,,582.0,543.5,21515.9,-8249.9,5286,0,DXF da casa: pecas_CAD.dxf
pecas_CAD2.dxf,CURVA 45 PVC IRRI LF 150 MM,355.7,576.6,19149.5,6339.9,28,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,CURVA 45 PVC IRRI LF 125 MM,295.0,478.2,18248.8,6345.4,28,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,CURVA 45 PVC IRRI LF 100 MM,237.9,385.9,17462.4,6360.8,28,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,CURVA 45 PVC IRRI LF 75 MM,188.4,315.8,16721.9,6401.0,28,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,CURVA 45 PVC IRRI LF 50 MM,128.4,215.5,16212.1,6367.6,32,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,CURVA 45 PVC IRRI LF 35 MM,99.3,168.1,15760.3,6364.0,27,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,CURVA 90 PVC IRRI LF 150 MM,572.5,588.6,18885.1,5256.7,29,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,CURVA 90 PVC IRRI LF 125 MM,513.7,526.4,18057.9,5247.3,29,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,CURVA 90 PVC IRRI LF 100 MM,389.8,400.5,17334.4,5254.8,29,0,DXF da casa: pecas_CAD2.dxf
