familia,dn,dn_menor,unidade_dn,variante,significado,valor_mm,confiavel,nome_no_dxf,arquivo,fonte
CURVA,150,,mm,45/BOLSA,envelope_x_mm,355.7,1,CURVA 45 PVC IRRI LF 150 MM,pecas_CAD2.dxf,DXF da casa
CURVA,150,,mm,45/BOLSA,envelope_y_mm,576.6,1,CURVA 45 PVC IRRI LF 150 MM,pecas_CAD2.dxf,DXF da casa
CURVA,125,,mm,45/BOLSA,envelope_x_mm,295.0,1,CURVA 45 PVC IRRI LF 125 MM,pecas_CAD2.dxf,DXF da casa
CURVA,125,,mm,45/BOLSA,envelope_y_mm,478.2,1,CURVA 45 PVC IRRI LF 125 MM,pecas_CAD2.dxf,DXF da casa
CURVA,100,,mm,45/BOLSA,envelope_x_mm,237.9,1,CURVA 45 PVC IRRI LF 100 MM,pecas_CAD2.dxf,DXF da casa
CURVA,100,,mm,45/BOLSA,envelope_y_mm,385.9,1,CURVA 45 PVC IRRI LF 100 MM,pecas_CAD2.dxf,DXF da casa
CURVA,75,,mm,45/BOLSA,envelope_x_mm,188.4,1,CURVA 45 PVC IRRI LF 75 MM,pecas_CAD2.dxf,DXF da casa
CURVA,75,,mm,45/BOLSA,envelope_y_mm,315.8,1,CURVA 45 PVC IRRI LF 75 MM,pecas_CAD2.dxf,DXF da casa
CURVA,50,,mm,45/BOLSA,envelope_x_mm,128.4,1,CURVA 45 PVC IRRI LF 50 MM,pecas_CAD2.dxf,DXF da casa
CURVA,50,,mm,45/BOLSA,envelope_y_mm,215.5,1,CURVA 45 PVC IRRI LF 50 MM,pecas_CAD2.dxf,DXF da casa
CURVA,35,,mm,45/BOLSA,envelope_x_mm,99.3,1,CURVA 45 PVC IRRI LF 35 MM,pecas_CAD2.dxf,DXF da casa
CURVA,35,,mm,45/BOLSA,envelope_y_mm,168.1,1,CURVA 45 PVC IRRI LF 35 MM,pecas_CAD2.dxf,DXF da casa
CURVA,150,,mm,90/BOLSA,envelope_x_mm,572.5,1,CURVA 90 PVC IRRI LF 150 MM,pecas_CAD2.dxf,DXF da casa
CURVA,150,,mm,90/BOLSA,envelope_y_mm,588.6,1,CURVA 90 PVC IRRI LF 150 MM,pecas_CAD2.dxf,DXF da casa
CURVA,125,,mm,90/BOLSA,envelope_x_mm,513.7,1,CURVA 90 PVC IRRI LF 125 MM,pecas_CAD2.dxf,DXF da casa
CURVA,125,,mm,90/BOLSA,envelope_y_mm,526.4,1,CURVA 90 PVC IRRI LF 125 MM,pecas_CAD2.dxf,DXF da casa
CURVA,100,,mm,90/BOLSA,envelope_x_mm,389.8,1,CURVA 90 PVC IRRI LF 100 MM,pecas_CAD2.dxf,DXF da casa
CURVA,100,,mm,90/BOLSA,envelope_y_mm,400.5,1,CURVA 90 PVC IRRI LF 100 MM,pecas_CAD2.dxf,DXF da casa
CURVA,75,,mm,90/BOLSA,envelope_x_mm,326.7,1,CURVA 90 PVC IRRI LF 75 MM,pecas_CAD2.dxf,DXF da casa
CURVA,75,,mm,90/BOLSA,envelope_y_mm,334.5,1,CURVA 90 PVC IRRI LF 75 MM,pecas_CAD2.dxf,DXF da casa
CURVA,50,,mm,90/BOLSA,envelope_x_mm,223.3,1,CURVA 90 PVC IRRI LF 50 MM,pecas_CAD2.dxf,DXF da casa
CURVA,50,,mm,90/BOLSA,envelope_y_mm,228.5,1,CURVA 90 PVC IRRI LF 50 MM,pecas_CAD2.dxf,DXF da casa
LUVA_REDUCAO,150,125,mm,BOLSA,comprimento_mm,988.0,1,LUVA RED PVC IRRI LF 150 X 125 MM,pecas_CAD2.dxf,DXF da casa
LUVA_REDUCAO,150,125,mm,BOLSA,d_externo_mm,173.7,1,LUVA RED PVC IRRI LF 150 X 125 MM,pecas_CAD2.dxf,DXF da casa
