familia,variante,dn_a_pol,dn_c_pol,cota,valor_mm,pagina
CURVA,90/4gomos,2,,C,223,1.07
CURVA,90/4gomos,2.5,,C,223,1.07
CURVA,90/4gomos,3,,C,223,1.07
CURVA,90/4gomos,4,,C,250,1.07
CURVA,90/4gomos,5,,C,193,1.07
CURVA,90/4gomos,6,,C,285,1.07
CURVA,90/4gomos,8,,C,335,1.07
CURVA,90/4gomos,10,,C,386,1.07
CURVA,90/4gomos,12,,C,385,1.07
CURVA,90/4gomos,14,,C,408,1.07
CURVA,90/4gomos,16,,C,501,1.07
CURVA,90/4gomos,18,,C,486,1.07
CURVA,90/4gomos,20,,C,495,1.07
CURVA,90/4gomos,24,,C,681,1.07
CURVA,90/4gomos,28,,C,715,1.07
CURVA,90/4gomos,32,,C,643,1.07
CURVA,90/4gomos,36,,C,851,1.07
CURVA,90/3gomos,2,,C,223,1.08
CURVA,90/3gomos,2.5,,C,223,1.08
CURVA,90/3gomos,3,,C,223,1.08
CURVA,90/3gomos,4,,C,250,1.08
CURVA,90/3gomos,5,,C,193,1.08
CURVA,90/3gomos,6,,C,285,1.08
CURVA,90/3gomos,8,,C,335,1.08
CURVA,90/3gomos,10,,C,386,1.08
CURVA,90/3gomos,12,,C,385,1.08
CURVA,90/3gomos,14,,C,408,1.08
CURVA,90/3gomos,16,,C,501,1.08
CURVA,90/3gomos,18,,C,486,1.08
CURVA,90/3gomos,20,,C,495,1.08
CURVA,90/3gomos,24,,C,681,1.08
CURVA,90/3gomos,28,,C,715,1.08
CURVA,90/3gomos,32,,C,643,1.08
CURVA,90/3gomos,36,,C,851,1.08
CURVA_SAIDA,90/4gomos,2,,C,223,1.09
CURVA_SAIDA,90/4gomos,2,,D,165,1.09
CURVA_SAIDA,90/4gomos,2.5,,C,223,1.09
CURVA_SAIDA,90/4gomos,2.5,,D,165,1.09
CURVA_SAIDA,90/4gomos,3,,C,223,1.09
CURVA_SAIDA,90/4gomos,3,,D,165,1.09
CURVA_SAIDA,90/4gomos,4,,C,250,1.09
CURVA_SAIDA,90/4gomos,4,,D,205,1.09
CURVA_SAIDA,90/4gomos,5,,C,193,1.09
CURVA_SAIDA,90/4gomos,5,,D,165,1.09
CURVA_SAIDA,90/4gomos,6,,C,285,1.09
CURVA_SAIDA,90/4gomos,6,,D,265,1.09
CURVA_SAIDA,90/4gomos,8,,C,335,1.09
CURVA_SAIDA,90/4gomos,8,,D,293,1.09
CURVA_SAIDA,90/4gomos,10,,C,386,1.09
CURVA_SAIDA,90/4gomos,10,,D,324,1.09
CURVA_SAIDA,90/4gomos,12,,C,385,1.09
CURVA_SAIDA,90/4gomos,12,,D,338,1.09
CURVA_SAIDA,90/4gomos,14,,C,408,1.09
CURVA_SAIDA,90/4gomos,14,,D,364,1.09
