familia,variante,dn_pol,cota_mm,significado,amostras,divergentes
ADAPTADOR,,2,70,face_a_face_mm,4,0
ADAPTADOR,,3,90,face_a_face_mm,4,0
ADAPTADOR,,4,110,face_a_face_mm,4,0
ADAPTADOR,,6,130,face_a_face_mm,4,0
ADAPTADOR,,8,140,face_a_face_mm,3,0
ADAPTADOR,,10,150,face_a_face_mm,3,0
ADAPTADOR,,12,160,face_a_face_mm,3,0
ADAPTADOR,,14,170,face_a_face_mm,3,0
ADAPTADOR,,16,180,face_a_face_mm,3,0
ADAPTADOR,,18,190,face_a_face_mm,3,0
ADAPTADOR,,20,200,face_a_face_mm,3,0
ADAPTADOR,,24,220,face_a_face_mm,3,0
ADAPTADOR,,28,240,face_a_face_mm,1,0
CRIVO,,3,100,face_a_face_mm,1,0
CRIVO,,4,130,face_a_face_mm,1,0
CRIVO,,6,190,face_a_face_mm,1,0
CRIVO,,8,250,face_a_face_mm,1,0
CRIVO,,10,355,face_a_face_mm,1,0
CRIVO,,12,425,face_a_face_mm,1,0
CRIVO,,14,495,face_a_face_mm,1,0
CRIVO,,16,565,face_a_face_mm,1,0
CRIVO,,18,640,face_a_face_mm,1,0
CRIVO,,20,710,face_a_face_mm,1,0
CRIVO,,24,855,face_a_face_mm,1,0
CURVA,45,2,153,raio_mm,2,0
CURVA,45,3,184,raio_mm,2,0
CURVA,45,4,245,raio_mm,2,0
CURVA,45,5,276,raio_mm,1,0
CURVA,45,6,307,raio_mm,2,0
CURVA,45,8,337,raio_mm,2,0
CURVA,45,10,400,raio_mm,2,0
CURVA,45,12,460,raio_mm,2,0
CURVA,45,14,460,raio_mm,2,0
CURVA,45,16,491,raio_mm,2,0
CURVA,45,18,521,raio_mm,2,0
CURVA,45,20,583,raio_mm,2,0
CURVA,45,24,675,raio_mm,2,0
CURVA,45,28,838,raio_mm,1,0
CURVA,90,2,132.5,raio_mm,5,0
CURVA,90,3,152,raio_mm,5,0
CURVA,90,4,175,raio_mm,5,0
CURVA,90,5,191,raio_mm,1,0
CURVA,90,6,216,raio_mm,5,0
CURVA,90,8,297,raio_mm,5,0
CURVA,90,10,325,raio_mm,5,0
CURVA,90,12,365,raio_mm,5,0
CURVA,90,14,370,raio_mm,5,0
CURVA,90,16,405,raio_mm,5,0
CURVA,90,18,427.5,raio_mm,5,0
CURVA,90,20,457,raio_mm,5,0
CURVA,90,24,559,raio_mm,5,0
CURVA,90,28,610,raio_mm,1,0
MANIFOLD,D02,4,1500,comprimento_mm,1,0
MANIFOLD,D02,6,1500,comprimento_mm,2,0
MANIFOLD,D02,8,1500,comprimento_mm,3,0
MANIFOLD,D02,10,1500,comprimento_mm,4,0
MANIFOLD,D02,12,1500,comprimento_mm,4,0
MANIFOLD,D02,14,1500,comprimento_mm,2,0
MANIFOLD,D02,16,1500,comprimento_mm,2,0
MANIFOLD,D02,20,1500,comprimento_mm,2,0
MANIFOLD,D03,2,1500,comprimento_mm,1,0
MANIFOLD,D03,3,1500,comprimento_mm,2,0
MANIFOLD,D03,4,1500,comprimento_mm,2,0
MANIFOLD,D03,6,1500,comprimento_mm,2,0
MANIFOLD,D03,8,1500,comprimento_mm,2,0
MANIFOLD,D03,10,1500,comprimento_mm,2,0
MANIFOLD,D03,12,1500,comprimento_mm,2,0
MANIFOLD,D04,2,1500,comprimento_mm,1,0
MANIFOLD,D04,3,1500,comprimento_mm,1,0
MANIFOLD,D04,4,1500,comprimento_mm,1,0
MANIFOLD,D04,6,1500,comprimento_mm,1,0
MANIFOLD,D04,8,1500,comprimento_mm,1,0
MANIFOLD,D04,10,1500,comprimento_mm,1,0
MANIFOLD,D04,12,1500,comprimento_mm,1,0
MANIFOLD,D04,14,1500,comprimento_mm,1,0
MANIFOLD,D05,2,1200,comprimento_mm,1,0
MANIFOLD,D05,3,1200,comprimento_mm,1,0
MANIFOLD,D05,4,1200,comprimento_mm,1,0
MANIFOLD,D05,6,1200,comprimento_mm,1,0
MANIFOLD,D05,8,1200,comprimento_mm,1,0
MANIFOLD,D05,10,1200,comprimento_mm,1,0
MANIFOLD,D05,12,1200,comprimento_mm,1,0
MANIFOLD,D05,14,1200,comprimento_mm,1,0
MANIFOLD,D05,16,1200,comprimento_mm,1,0
MANIFOLD,D05,18,1200,comprimento_mm,1,0
MANIFOLD,D05,20,1200,comprimento_mm,1,0
MANIFOLD,D05,24,1200,comprimento_mm,1,0
MANIFOLD,D06,2,500,comprimento_mm,1,0
MANIFOLD,D06,3,500,comprimento_mm,2,0
MANIFOLD,D06,4,500,comprimento_mm,2,0
MANIFOLD,D06,6,500,comprimento_mm,2,0
MANIFOLD,D06,8,500,comprimento_mm,2,0
MANIFOLD,D06,10,500,comprimento_mm,2,0
MANIFOLD,D06,12,500,comprimento_mm,2,0
MANIFOLD,D07,2,1200,comprimento_mm,1,0
MANIFOLD,D07,3,1200,comprimento_mm,1,0
MANIFOLD,D07,4,1200,comprimento_mm,1,0
MANIFOLD,D07,6,1200,comprimento_mm,1,0
MANIFOLD,D07,8,1200,comprimento_mm,1,0
MANIFOLD,D07,10,1200,comprimento_mm,1,0
MANIFOLD,D07,12,1200,comprimento_mm,1,0
MANIFOLD,D07,14,1200,comprimento_mm,1,0
MANIFOLD,D07,16,1200,comprimento_mm,1,0
MANIFOLD,D07,18,1200,comprimento_mm,1,0
MANIFOLD,D07,20,1200,comprimento_mm,1,0
MANIFOLD,D07,24,1200,comprimento_mm,1,0
MANIFOLD,D07,28,1750,comprimento_mm,1,0
MANIFOLD,D11,2,1000,comprimento_mm,1,0
MANIFOLD,D11,3,1000,comprimento_mm,1,0
MANIFOLD,D11,4,1000,comprimento_mm,1,0
MANIFOLD,D11,6,1000,comprimento_mm,1,0
MANIFOLD,D11,8,1000,comprimento_mm,1,0
MANIFOLD,D11,10,1000,comprimento_mm,1,0
MANIFOLD,D11,12,1000,comprimento_mm,1,0
MANIFOLD,D11,14,1000,comprimento_mm,1,0
MANIFOLD,D11,16,1000,comprimento_mm,1,0
