dn_pol,d_externo_mm,comprimento_mm,parede_mm,margem_mm,passo_mm,furo_mm,fundo,norma,sap,pagina
3,76.0,100.0,2.0,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,01523-051000,14
4,102.0,130.0,2.0,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,01523-052000,14
6,152.0,190.0,2.0,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,01523-053000,14
8,203.0,250.0,2.0,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,01523-054000,14
10,261.0,355.0,2.65,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,01523-054500,14
12,318.0,425.0,2.65,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,01523-055000,14
14,368.0,495.0,3.0,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,01523-055500,14
16,419.0,565.0,4.75,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,,14
18,470.0,640.0,4.75,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,,14
20,521.0,710.0,4.75,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,,14
24,622.0,855.0,6.35,10.0,3.0,6.0,CHAPA_LISA,NBR 7675 PN16,,14
