familia,variante,dn_pol,cota_netafim_mm,cota_irrigafour_mm,delta_mm,codigos_az_netafim,veredito,observacao,base_da_comparacao
REDUCAO_CONCENTRICA,,3,250,150,-100,12,TROCA_REDESENHA,o conjunto muda -100mm por peca,"L do caderno x E do catalogo, os dois face a face entre flanges (desenho 01528 e pagina 23)"
REDUCAO_CONCENTRICA,,4,250,150,-100,13,TROCA_REDESENHA,o conjunto muda -100mm por peca,"L do caderno x E do catalogo, os dois face a face entre flanges (desenho 01528 e pagina 23)"
REDUCAO_CONCENTRICA,,5,250,150,-100,1,TROCA_REDESENHA,o conjunto muda -100mm por peca,"L do caderno x E do catalogo, os dois face a face entre flanges (desenho 01528 e pagina 23)"
REDUCAO_CONCENTRICA,,6,300,150,-150,17,TROCA_REDESENHA,o conjunto muda -150mm por peca,"L do caderno x E do catalogo, os dois face a face entre flanges (desenho 01528 e pagina 23)"
REDUCAO_CONCENTRICA,,8,300,150,-150,21,TROCA_REDESENHA,o conjunto muda -150mm por peca,"L do caderno x E do catalogo, os dois face a face entre flanges (desenho 01528 e pagina 23)"
REDUCAO_CONCENTRICA,,10,350,150,-200,14,TROCA_REDESENHA,o conjunto muda -200mm por peca,"L do caderno x E do catalogo, os dois face a face entre flanges (desenho 01528 e pagina 23)"
REDUCAO_CONCENTRICA,,12,450,150,-300,13,TROCA_REDESENHA,o conjunto muda -300mm por peca,"L do caderno x E do catalogo, os dois face a face entre flanges (desenho 01528 e pagina 23)"
REDUCAO_CONCENTRICA,,14,600,150,-450,5,TROCA_REDESENHA,o conjunto muda -450mm por peca,"L do caderno x E do catalogo, os dois face a face entre flanges (desenho 01528 e pagina 23)"
REDUCAO_EXCENTRICA,,3,250,150,-100,6,TROCA_REDESENHA,o conjunto muda -100mm por peca,mesma tabela da concentrica nos dois fabricantes
REDUCAO_EXCENTRICA,,4,250,150,-100,8,TROCA_REDESENHA,o conjunto muda -100mm por peca,mesma tabela da concentrica nos dois fabricantes
REDUCAO_EXCENTRICA,,5,250,150,-100,0,TROCA_REDESENHA,o conjunto muda -100mm por peca,mesma tabela da concentrica nos dois fabricantes
REDUCAO_EXCENTRICA,,6,300,200,-100,14,TROCA_REDESENHA,o conjunto muda -100mm por peca,mesma tabela da concentrica nos dois fabricantes
