pagina,peca,dn_mm,dn_pol,cotas,sap,situacao
10,,48,2,"70 4,75 2"" 18,00 FL NBR7675 PN16 Rosca Macho BSP",01523-010506,cadastrado
10,,76,3,"90 4,75 3"" 25,00 FL NBR7675 PN16 Rosca Macho BSP",01523-011010,cadastrado
10,,102,4,"110 4,75 4"" 30,00 FL NBR7675 PN16 Rosca Macho BSP",01523-012010,cadastrado
10,,152,6,"130 4,75 6"" 40,00 FL NBR7675 PN16 Rosca Macho BSP 01523-",,indefinido
11,,48,2,"70 2,00 FL NBR7675 PN16 K10",,CADASTRAR
11,,76,3,"90 2,00 FL NBR7675 PN16 K10",01523-011050,cadastrado
11,,102,4,"110 2,00 FL NBR7675 PN16 K10",01523-012050,cadastrado
11,,152,6,"130 2,00 FL NBR7675 PN16 K10",01523-013050,cadastrado
11,,203,8,"140 2,00 FL NBR7675 PN16 K10",01523-014050,cadastrado
11,,261,10,"150 2,65 FL NBR7675 PN16 K10",01523-014550,cadastrado
11,,318,12,"160 2,65 FL NBR7675 PN16 K10",01523-015050,cadastrado
11,,368,14,"170 3,00 FL NBR7675 PN16 K10",01523-015500,cadastrado
11,,419,16,"180 4,75 FL NBR7675 PN16 K10",01523-016510,cadastrado
11,,470,18,"190 4,75 FL NBR7675 PN16 K10",,CADASTRAR
11,,521,20,"200 4,75 FL NBR7675 PN16 K10",01523-017510,cadastrado
11,,622,24,"220 6,35 FL NBR7675 PN16 K10",,CADASTRAR
12,,48,2,"70 2,00 FL NBR7675 PN16 K10",,CADASTRAR
12,,76,3,"90 2,00 FL NBR7675 PN16 K10",01523-011050,cadastrado
12,,102,4,"110 2,00 FL NBR7675 PN16 K10",01523-012050,cadastrado
12,,152,6,"130 2,00 FL NBR7675 PN16 K10",01523-013050,cadastrado
12,,203,8,"140 2,00 FL NBR7675 PN16 K10",01523-014050,cadastrado
12,,261,10,"150 2,65 FL NBR7675 PN16 K10",01523-014550,cadastrado
12,,318,12,"160 2,65 FL NBR7675 PN16 K10",01523-015050,cadastrado
