dn_pol,norma,esp_flange_pol,d_externo_mm,d_interno_mm,furos,d_furo_mm,pagina
1,DIN 2532 PN 10,"3/8"" e 1/2""",115,25,4,14,1.01
1,DIN 2533 PN 16,"3/8"" e 1/2""",115,25,4,14,1.01
1,DIN 2534 PN 25,"3/8"" e 1/2""",115,25,4,14,1.01
1,DIN 2535 PN 40,"3/8"" e 1/2""",115,25,4,14,1.01
1,ANSI B16.1 125 LB,"3/8"" e 1/2""",108,25,4,14,1.01
1,ANSI B16.1 250 LB,"3/8"" e 1/2""",124,25,4,18,1.01
1.25,DIN 2532 PN 10,"3/8"" e 1/2""",140,35,4,14,1.01
1.25,DIN 2533 PN 16,"3/8"" e 1/2""",140,35,4,18,1.01
1.25,DIN 2534 PN 25,"3/8"" e 1/2""",140,35,4,18,1.01
1.25,DIN 2535 PN 40,"3/8"" e 1/2""",140,35,4,18,1.01
1.25,ANSI B16.1 125 LB,"3/8"" e 1/2""",127,40,4,16,1.01
1.25,ANSI B16.1 250 LB,"3/8"" e 1/2""",133,35,4,18,1.01
1.5,DIN 2532 PN 10,"3/8"" e 1/2""",150,40,4,18,1.01
1.5,DIN 2533 PN 16,"3/8"" e 1/2""",150,40,4,18,1.01
1.5,DIN 2534 PN 25,"3/8"" e 1/2""",150,40,4,18,1.01
1.5,DIN 2535 PN 40,"3/8"" e 1/2""",150,40,4,18,1.01
1.5,ANSI B16.1 125 LB,"3/8"" e 1/2""",127,40,4,16,1.01
1.5,ANSI B16.1 250 LB,"3/8"" e 1/2""",156,40,4,22,1.01
2,DIN 2532 PN 10,"3/8"" e 1/2""",165,50,4,20,1.01
2,DIN 2533 PN 16,"3/8"" e 1/2""",165,50,4,20,1.01
2,DIN 2534 PN 25,"3/8"" e 1/2""",165,50,4,18,1.02
2,DIN 2535 PN 40,"3/8"" e 1/2""",165,50,4,18,1.02
2,ANSI B16.1 125 LB,"3/8"" e 1/2""",152,50,4,20,1.02
2,ANSI B16.1 250 LB,"3/8"" e 1/2""",165,50,8,19,1.02
2.5,DIN 2532 PN 10,"3/8"" e 1/2""",185,65,4,18,1.02
2.5,DIN 2533 PN 16,"3/8"" e 1/2""",185,65,4,18,1.02
2.5,DIN 2534 PN 25,"3/8"" e 1/2""",185,65,8,18,1.02
2.5,DIN 2535 PN 40,"3/8"" e 1/2""",185,65,8,18,1.02
2.5,ANSI B16.1 125 LB,"3/8"" e 1/2""",178,65,4,20,1.02
2.5,ANSI B16.1 250 LB,"3/8"" e 1/2""",191,65,8,22,1.02
3,DIN 2532 PN 10,"3/8"" e 1/2""",200,75,4,20,1.02
3,DIN 2533 PN 16,"3/8"" e 1/2""",200,75,8,18,1.02
3,DIN 2534 PN 25,"3/8"" e 1/2""",200,75,8,18,1.02
3,DIN 2535 PN 40,"3/8"" e 1/2""",200,75,8,18,1.02
3,ANSI B16.1 125 LB,"3/8"" e 1/2""",200,75,4,20,1.02
3,ANSI B16.1 250 LB,"3/8"" e 1/2""",210,80,8,22,1.02
4,DIN 2532 PN 10,"3/8"" e 1/2""",220,100,8,18,1.02
4,DIN 2533 PN 16,"3/8"" e 1/2""",220,100,8,18,1.02
4,DIN 2534 PN 25,"3/8"" e 1/2""",220,100,8,20,1.02
4,DIN 2535 PN 40,"3/8"" e 1/2""",220,100,8,20,1.02
4,ANSI B16.1 125 LB,"3/8"" e 1/2""",220,100,8,20,1.02
4,ANSI B16.1 250 LB,"3/8"" e 1/2""",254,100,8,22,1.02
5,DIN 2532 PN 10,"3/8"" e 1/2""",250,125,8,18,1.02
5,DIN 2533 PN 16,"3/8"" e 1/2""",250,125,8,18,1.02
5,DIN 2534 PN 25,"3/8"" e 1/2""",270,125,8,25,1.02
5,DIN 2535 PN 40,"3/8"" e 1/2""",270,125,8,25,1.02
5,ANSI B16.1 125 LB,"3/8"" e 1/2""",250,125,8,22,1.02
6,DIN 2532 PN 10,"3/8"" e 1/2""",285,150,8,22,1.03
6,DIN 2533 PN 16,"3/8"" e 1/2""",285,150,8,22,1.03
6,DIN 2534 PN 25,"3/8"" e 1/2""",300,150,8,22,1.03
6,DIN 2535 PN 40,"3/8"" e 1/2""",300,150,8,22,1.03
6,ANSI B16.1 125 LB,"3/8"" e 1/2""",285,150,8,22,1.03
6,ANSI B16.1 250 LB,"3/8"" e 1/2""",317,150,12,22,1.03
8,DIN 2532 PN 10,"3/8"", 1/2"" e 5/8""",340,200,8,24,1.03
8,DIN 2533 PN 16,"3/8"", 1/2"" e 5/8""",340,200,12,24,1.03
8,DIN 2534 PN 25,"3/8"", 1/2"" e 5/8""",360,200,12,32,1.03
8,DIN 2535 PN 40,"3/8"", 1/2"" e 5/8""",375,200,12,28,1.03
8,ANSI B16.1 125 LB,"3/8"", 1/2"" e 5/8""",340,200,8,24,1.03
8,ANSI B16.1 250 LB,"3/8"", 1/2"" e 5/8""",380,200,12,25,1.03
10,DIN 2532 PN 10,"3/8"", 1/2"" e 5/8""",395,250,12,24,1.03
10,DIN 2533 PN 16,"3/8"", 1/2"" e 5/8""",405,250,12,26,1.03
10,DIN 2534 PN 25,"3/8"", 1/2"" e 5/8""",425,250,12,32,1.03
10,DIN 2535 PN 40,"3/8"", 1/2"" e 5/8""",450,250,12,33,1.03
10,ANSI B16.1 125 LB,"3/8"", 1/2"" e 5/8""",406,250,12,25.4,1.03
10,ANSI B16.1 250 LB,"3/8"", 1/2"" e 5/8""",445,250,16,27,1.03
12,DIN 2532 PN 10,"3/8"", 1/2"" e 5/8""",445,300,12,24,1.03
12,DIN 2533 PN 16,"3/8"", 1/2"" e 5/8""",460,300,12,24,1.03
12,DIN 2534 PN 25,"3/8"", 1/2"" e 5/8""",485,300,16,35,1.03
12,DIN 2535 PN 40,"3/8"", 1/2"" e 5/8""",515,300,16,33,1.03
12,ANSI B16.1 125 LB,"3/8"", 1/2"" e 5/8""",483,300,12,25,1.03
12,ANSI B16.1 250 LB,"3/8"", 1/2"" e 5/8""",521,300,16,25,1.03
14,DIN 2532 PN 10,"3/8"", 1/2"" e 5/8""",505,350,16,24,1.03
14,DIN 2533 PN 16,"3/8"", 1/2"" e 5/8""",533,350,16,27,1.03
14,DIN 2534 PN 25,"3/8"", 1/2"" e 5/8""",555,350,16,38,1.03
14,DIN 2535 PN 40,"3/8"", 1/2"" e 5/8""",580,350,16,36,1.03
14,ANSI B16.1 125 LB,"3/8"", 1/2"" e 5/8""",533,350,16,27,1.03
14,ANSI B16.1 250 LB,"3/8"", 1/2"" e 5/8""",584,350,20,32,1.04
16,DIN 2532 PN 10,"3/8"", 1/2"" e 5/8""",565,400,16,24,1.04
16,DIN 2533 PN 16,"3/8"", 1/2"" e 5/8""",580,400,16,30,1.04
16,DIN 2534 PN 25,"3/8"", 1/2"" e 5/8""",620,400,16,41,1.04
16,DIN 2535 PN 40,"3/8"", 1/2"" e 5/8""",660,400,16,39,1.04
16,ANSI B16.1 125 LB,"3/8"", 1/2"" e 5/8""",595,400,16,28,1.04
16,ANSI B16.1 250 LB,"3/8"", 1/2"" e 5/8""",648,400,20,32,1.04
18,DIN 2532 PN 10,"1/2"", 5/8"" e 1""",615,450,20,26,1.04
18,DIN 2533 PN 16,"1/2"", 5/8"" e 1""",640,450,20,30,1.04
18,DIN 2534 PN 25,"1/2"", 5/8"" e 1""",670,450,20,41,1.04
18,DIN 2535 PN 40,"1/2"", 5/8"" e 1""",685,450,20,39,1.04
18,ANSI B16.1 125 LB,"1/2"", 5/8"" e 1""",635,450,16,30,1.04
18,ANSI B16.1 250 LB,"1/2"", 5/8"" e 1""",711,450,24,36,1.04
20,DIN 2532 PN 10,"5/8"", 1"" e 1.1/4""",670,500,20,26,1.04
20,DIN 2533 PN 16,"5/8"", 1"" e 1.1/4""",715,500,30,33,1.04
20,DIN 2534 PN 25,"5/8"", 1"" e 1.1/4""",670,500,20,27,1.04
20,DIN 2535 PN 40,"5/8"", 1"" e 1.1/4""",755,500,20,42,1.04
20,ANSI B16.1 125 LB,"5/8"", 1"" e 1.1/4""",698,500,20,33,1.04
20,ANSI B16.1 250 LB,"5/8"", 1"" e 1.1/4""",775,500,24,36,1.04
24,DIN 2532 PN 10,"5/8"", 1"" e 1.1/4""",780,600,20,30,1.04
24,DIN 2533 PN 16,"5/8"", 1"" e 1.1/4""",840,600,20,36,1.04
24,DIN 2534 PN 25,"5/8"", 1"" e 1.1/4""",780,600,20,30,1.04
24,DIN 2535 PN 40,"5/8"", 1"" e 1.1/4""",890,600,20,48,1.04
24,ANSI B16.1 125 LB,"5/8"", 1"" e 1.1/4""",813,600,20,33,1.04
24,ANSI B16.1 250 LB,"5/8"", 1"" e 1.1/4""",914,600,24,44,1.04
28,DIN 2532 PN 10,"5/8"", 1"" e 1.1/4""",895,700,24,30,1.04
28,DIN 2533 PN 16,"5/8"", 1"" e 1.1/4""",910,700,24,36,1.04
28,DIN 2534 PN 25,"5/8"", 1"" e 1.1/4""",895,700,24,30,1.04
32,DIN 2532 PN 10,"5/8"", 1"" e 1.1/4""",1015,800,24,33,1.04
32,DIN 2533 PN 16,"5/8"", 1"" e 1.1/4""",1025,800,24,39,1.05
32,DIN 2534 PN 25,"5/8"", 1"" e 1.1/4""",1015,800,24,33,1.05
36,DIN 2532 PN 10,"5/8"", 1"" e 1.1/4""",1115,900,28,33,1.05
36,DIN 2533 PN 16,"5/8"", 1"" e 1.1/4""",1125,900,28,39,1.05
36,DIN 2534 PN 25,"5/8"", 1"" e 1.1/4""",1115,900,28,33,1.05
