tipo,norma,dn_pol,dn_mm,esp_mm,d_externo_mm,d_ressalto_mm,d_furo_central_mm,circulo_mm,d_furo_mm,furos,luva_pol,luva_comp_mm,luva_externo_mm,pagina
SOLDAR,EN 1092-1 PN16,2,48,16.0,165.0,102.0,51.0,125.0,19.0,4,,,,6
SOLDAR,EN 1092-1 PN16,3,76,16.0,200.0,138.0,77.0,160.0,19.0,8,,,,6
SOLDAR,EN 1092-1 PN16,4,102,16.0,220.0,158.0,103.0,180.0,19.0,8,,,,6
SOLDAR,EN 1092-1 PN16,5,133,16.0,250.0,184.0,135.0,210.0,19.0,8,,,,6
SOLDAR,EN 1092-1 PN16,6,152,16.0,285.0,212.0,154.0,240.0,23.0,8,,,,6
SOLDAR,EN 1092-1 PN16,8,203,16.0,340.0,268.0,205.0,295.0,23.0,12,,,,6
SOLDAR,EN 1092-1 PN16,10,261,16.0,405.0,320.0,263.0,355.0,28.0,12,,,,6
SOLDAR,EN 1092-1 PN16,12,318,21.0,460.0,378.0,320.0,410.0,28.0,12,,,,6
SOLDAR,EN 1092-1 PN16,14,368,21.0,520.0,438.0,370.0,470.0,28.0,16,,,,6
SOLDAR,EN 1092-1 PN16,16,419,21.0,580.0,490.0,421.0,525.0,31.0,16,,,,6
SOLDAR,EN 1092-1 PN16,18,470,27.5,640.0,550.0,473.0,585.0,31.0,20,,,,6
SOLDAR,EN 1092-1 PN16,20,521,27.5,715.0,610.0,524.0,650.0,34.0,20,,,,6
SOLDAR,EN 1092-1 PN16,24,622,27.5,840.0,725.0,625.0,770.0,37.0,20,,,,6
CEGA_COM_LUVA,NBR 7675 PN16,2.0,,16.0,165.0,99.0,51.0,125.0,19.0,4,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,3.0,,16.0,200.0,132.0,77.0,160.0,19.0,8,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,4.0,,16.0,220.0,156.0,103.0,180.0,19.0,8,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,6.0,,16.0,285.0,211.0,154.0,240.0,23.0,8,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,8.0,,16.0,340.0,266.0,205.0,295.0,23.0,12,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,10.0,,16.0,400.0,319.0,263.0,355.0,28.0,12,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,12.0,,21.0,455.0,370.0,320.0,410.0,28.0,12,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,14.0,,21.0,520.0,429.0,370.0,470.0,28.0,16,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,16.0,,21.0,580.0,480.0,421.0,525.0,31.0,16,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,18.0,,27.5,640.0,548.0,473.0,585.0,31.0,20,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,20.0,,27.5,715.0,609.0,524.0,650.0,34.0,20,2,30.0,40.0,4
CEGA_COM_LUVA,NBR 7675 PN16,24.0,,27.5,840.0,720.0,625.0,770.0,37.0,20,2,30.0,40.0,4
