codigo,bocais,luvas,itens,concordam,exemplo,fonte
?,4,2,1,1,"MNFDAZD16 12""X2,65X1700MM 2FL8 2FL6 2LG2",moda das descricoes do proprio catalogo
D02,1,2,18,10,"MNFD AZ D02 8"" K10 C/ FL6"" 2LG2""",moda das descricoes do proprio catalogo
D03,0,1,7,5,"MNFD AZ D03 3"" K10",moda das descricoes do proprio catalogo
D04,0,0,6,6,"MNFD AZ D04 4"" K10",moda das descricoes do proprio catalogo
D05,0,0,4,4,"MNFD AZ D05 6"" K10",moda das descricoes do proprio catalogo
D06,0,1,8,8,"MNFD AZ D06 8"" FL NBR PN16 C/ L2",moda das descricoes do proprio catalogo
D07,0,0,11,11,"MNFD AZ D07 28""FL X K10",moda das descricoes do proprio catalogo
D08,1,0,7,7,"MNFD AZ D08 12"" FL C/ FL6""",moda das descricoes do proprio catalogo
D09,2,0,43,34,"MNFD AZ D09 10""X2,65X3000MM KFL E 2 K8""",moda das descricoes do proprio catalogo
D10,3,0,6,4,"MNFD AZ D10 14""X3,00X2200MM FLK14"" 2K10""",moda das descricoes do proprio catalogo
D11,0,0,13,13,"MNFD AZ D11 28"" FL",moda das descricoes do proprio catalogo
D12,0,2,7,7,"MNFD AZ D12 6"" FLK C/ 2 LG2""",moda das descricoes do proprio catalogo
D13,2,0,6,2,"MNFD AZ D13 20"" FLK C/ FL 8"" E C/ FL4""",moda das descricoes do proprio catalogo
D20,2,0,14,5,"MNFD AZ D20 14""X3,00X2200MM FLK14"" 2K10""",moda das descricoes do proprio catalogo
