derivacao,dn_pol,d_externo_mm,comprimento_mm,parede_mm,luvas_ventosa,luva_pol,luva_comp_mm,luva_externo_mm,luva_altura_mm,derivacao_pol,derivacao_mm,derivacao_pescoco_mm,derivacao_parede_mm,derivacao_norma,r_mm,f2_mm,pagina
D02,4,102.0,1500.0,2.0,2,2,30.0,40.0,91.0,3,76.0,100.0,2.0,NBR 7675 PN16,175.0,113.0,25
D02,6,152.0,1500.0,2.0,2,2,30.0,40.0,116.0,3,76.0,100.0,2.0,NBR 7675 PN16,216.0,146.0,25
D02,6,152.0,1500.0,2.0,2,2,30.0,40.0,116.0,4,102.0,100.0,2.0,NBR 7675 PN16,216.0,146.0,25
D02,8,203.0,1500.0,2.0,2,2,30.0,40.0,141.5,3,76.0,100.0,2.0,NBR 7675 PN16,297.0,199.25,25
D02,8,203.0,1500.0,2.0,2,2,30.0,40.0,141.5,4,102.0,100.0,2.0,NBR 7675 PN16,297.0,199.25,25
D02,8,203.0,1500.0,2.0,2,2,30.0,40.0,141.5,6,152.0,100.0,2.0,NBR 7675 PN16,297.0,199.25,25
D02,10,261.0,1500.0,2.65,2,2,30.0,40.0,170.5,3,76.0,100.0,2.0,NBR 7675 PN16,325.0,227.75,25
D02,10,261.0,1500.0,2.65,2,2,30.0,40.0,170.5,4,102.0,100.0,2.0,NBR 7675 PN16,325.0,227.75,25
D02,10,261.0,1500.0,2.65,2,2,30.0,40.0,170.5,6,152.0,100.0,2.0,NBR 7675 PN16,325.0,227.75,25
D02,10,261.0,1500.0,2.65,2,2,30.0,40.0,170.5,8,203.0,100.0,2.0,NBR 7675 PN16,325.0,227.75,25
D02,12,318.0,1500.0,2.65,2,2,30.0,40.0,199.0,3,76.0,100.0,2.0,NBR 7675 PN16,365.0,262.0,25
D02,12,318.0,1500.0,2.65,2,2,30.0,40.0,199.0,4,102.0,100.0,2.0,NBR 7675 PN16,365.0,262.0,25
D02,12,318.0,1500.0,2.65,2,2,30.0,40.0,199.0,6,152.0,100.0,2.0,NBR 7675 PN16,365.0,262.0,25
D02,12,318.0,1500.0,2.65,2,2,30.0,40.0,199.0,8,203.0,100.0,2.0,NBR 7675 PN16,365.0,262.0,25
D02,14,368.0,1500.0,3.0,2,2,30.0,40.0,224.0,6,203.0,100.0,2.0,NBR 7675 PN16,370.0,277.0,25
D02,14,368.0,1500.0,3.0,2,2,30.0,40.0,224.0,8,203.0,100.0,2.0,NBR 7675 PN16,370.0,277.0,25
D02,16,419.0,1500.0,4.75,2,2,30.0,40.0,249.5,6,152.0,100.0,2.0,NBR 7675 PN16,405.0,307.25,25
D02,16,419.0,1500.0,4.75,2,2,30.0,40.0,249.5,8,203.0,100.0,2.0,NBR 7675 PN16,405.0,307.25,25
D02,20,521.0,1500.0,4.75,2,2,30.0,40.0,300.5,6,152.0,100.0,2.0,NBR 7675 PN16,457.0,358.75,25
D02,20,521.0,1500.0,4.75,2,2,30.0,40.0,300.5,8,203.0,100.0,2.0,NBR 7675 PN16,457.0,358.75,25
