# Medidores. A coluna situacao manda:
#   usar     = linha ARAD IRT analogica de pulso, ja vem com cabo
#   nao_usar = ARAD IRT ER, digital, depende do cabo 70220-030000
#   conferir = existe no catalogo e ainda nao foi decidido
#
# Nota: o ARAD 3" esta cadastrado como "ARAD IRT 3" ISO16 EV 100L", sem a
# palavra MEDIDOR - por isso a lista e por codigo, nao por padrao de texto.
dn_pol,sap,descricao,situacao,linha
3,70240-006010,"ARAD IRT 3"" ISO16 EV 100L",usar,ARAD IRT
4,70240-006125,"ARAD MEDIDOR AGUA 4"" IRT PUL 1 M3",usar,ARAD IRT
6,70240-006157,"ARAD MEDIDOR AGUA 6"" IRT PUL 1 M3",usar,ARAD IRT
8,70240-006277,"ARAD MEDIDOR AGUA 8"" IRT PUL 1 M3",usar,ARAD IRT
10,70240-006390,"ARAD MEDIDOR AGUA 10"" IRT PUL 1 M3",usar,ARAD IRT
3,70240-006051,"ARAD MEDIDOR AGUA 3"" IRT ER 100L&1M3",nao_usar,ARAD IRT ER
4,70240-006055,"ARAD MEDIDOR AGUA 4"" IRT ER 100L & 1M3",nao_usar,ARAD IRT ER
6,70240-006235,"ARAD MEDIDOR AGUA 6"" IRT ER 100L & 1M3",nao_usar,ARAD IRT ER
8,70240-008614,"ARAD MEDIDOR AGUA 8"" IRT ER 1M3&10M3",nao_usar,ARAD IRT ER
10,70240-006420,"ARAD MEDIDOR AGUA 10"" IRT ER 1M3 & 10M3",nao_usar,ARAD IRT ER
3,70240-006015,"ARAD MEDIDOR AGUA 3"" IRT PUL 100 L",conferir,ARAD IRT
8,70240-006278,"ARAD MEDIDOR AGUA 8"" IRT PUL 10 M3",conferir,ARAD IRT
10,70240-006410,"ARAD MEDIDOR AGUA 10"" IRT PUL 10 M3",conferir,ARAD IRT
2,71670-000193,"DOROT MEDIDOR IRT 2"" ISO16 PUL 100L/1M3",conferir,DOROT IRT
3,71670-000300,"DOROT MEDIDOR IRT 3"" ISO16 PUL 100L/1M3",conferir,DOROT IRT
4,71670-000310,"DOROT MEDIDOR IRT 4"" ISO16 PUL 100L/1M3",conferir,DOROT IRT
6,71670-000223,"DOROT MEDIDOR IRT 6"" ISO16 PUL 1M3/10M3",conferir,DOROT IRT
8,71670-000320,"DOROT MEDIDOR IRT 8"" ISO16 PUL 1M3/10M3",conferir,DOROT IRT
10,71670-000319,"DOROT MEDIDOR IRT 10"" ISO16 PUL 1M3/10M3",conferir,DOROT IRT
12,70240-005220,"ARAD MEDIDOR AGUA 12"" WSTSB EV PUL 10M3",conferir,ARAD WSTSB
