carcaca,A_mm,AB_mm,AD_mm,AC_mm,B_mm,BB_mm,C_mm,K_mm,H_mm,L2_mm,L1_230_mm,L1_250_mm,fonte
71,112.0,132.0,131.0,71.0,90.0,114.0,45.0,7.0,71.0,220.0,330.0,,GSD desenho 406.1 folha 2 (rev. 10)
80,125.0,149.0,139.0,80.0,100.0,126.0,50.0,10.0,80.0,237.0,349.0,,GSD desenho 406.1 folha 2 (rev. 10)
L80,125.0,149.0,139.0,80.0,100.0,126.0,50.0,10.0,80.0,262.0,372.0,,GSD desenho 406.1 folha 2 (rev. 10)
L90S,140.0,164.0,149.0,90.0,100.0,131.0,56.0,10.0,90.0,285.0,419.0,,GSD desenho 406.1 folha 2 (rev. 10)
L90L,140.0,164.0,149.0,90.0,125.0,156.0,56.0,10.0,90.0,310.0,444.0,,GSD desenho 406.1 folha 2 (rev. 10)
100L,160.0,188.0,159.0,103.0,,173.0,63.0,,100.0,316.0,450.0,,GSD desenho 406.1 folha 2 (rev. 10)
L100L,160.0,188.0,159.0,103.0,,173.0,63.0,,100.0,354.0,488.0,,GSD desenho 406.1 folha 2 (rev. 10)
112M,190.0,220.0,192.0,113.0,140.0,177.0,70.0,,112.0,334.0,468.0,,GSD desenho 406.1 folha 2 (rev. 10)
L112M,190.0,220.0,192.0,113.0,,177.0,70.0,12.0,112.0,369.0,503.0,,GSD desenho 406.1 folha 2 (rev. 10)
132S,,,,,,187.0,,,,371.0,526.0,,GSD desenho 406.1 folha 2 (rev. 10)
132M,216.0,248.0,219.0,136.0,178.0,225.0,89.0,,132.0,409.0,564.0,,GSD desenho 406.1 folha 2 (rev. 10)
132M/L,,,,,,250.0,,,,434.0,589.0,,GSD desenho 406.1 folha 2 (rev. 10)
160M,,,,,210.0,254.0,,,,490.0,675.0,720.0,GSD desenho 406.1 folha 2 (rev. 10)
200L,318.0,385.0,318.0,194.0,305.0,370.0,133.0,18.5,200.0,656.0,841.0,886.0,GSD desenho 406.1 folha 2 (rev. 10)
225S/M,356.0,436.0,410.0,228.0,,412.0,149.0,,225.0,745.0,930.0,975.0,GSD desenho 406.1 folha 2 (rev. 10)
250S/M,406.0,506.0,410.0,243.0,,467.0,168.0,24.0,250.0,825.0,,1055.0,GSD desenho 406.1 folha 2 (rev. 10)
280S/M,457.0,557.0,445.0,300.0,,517.0,190.0,24.0,280.0,931.0,,1161.0,GSD desenho 406.1 folha 2 (rev. 10)
