carcaca,quadro,cv,polos,L_mm,E_mm,C_mm,B_mm,H_mm,HD_mm,AC_mm,D_mm,K_mm,corpo_x0_mm,corpo_x1_mm,raio_mm,junta1_mm,junta2_mm,junta3_mm,tampa1_mm,tampa2_mm,defletor_x_mm,defletor_r_mm,aleta_x0_mm,aleta_x1_mm,aleta_passo_grau,caixa_x0_mm,caixa_x1_mm,caixa_topo_mm,caixa_chanfro_mm,caixa_chanfro_x_mm,caixa_pe_x0_mm,caixa_pe_x1_mm,caixa_pe_esp_mm,olhal_x_mm,olhal_r_mm,olhal_ri_mm,olhal_y_mm,olhal_x2_mm,olhal_pe_mm,olhais,pe_x0_mm,pe_x1_mm,pe_plano_mm,calco_alto_mm,calco_larg_mm,furo1_mm,furo2_mm,eixo_comp_mm,cubo_x_mm,cubo_r_mm,fonte
132S,132,10,4,452.0,80.0,89.0,140.0,132.0,319.0,272.0,38.0,12.0,80.0,452.0,136.0,135.8,340.4,385.0,55.8,44.6,425.2,97.9,143.2,333.0,15.1,184.9,291.3,187.0,167.6,208.3,179.6,296.6,5.1,162.4,12.2,6.7,154.4,313.8,11.0,2,134.6,343.4,-132.0,18.0,12.0,169.0,309.0,116.3,116.3,46.2,"WEG W22 IR3 Premium, DXF individual 4 polos (desenho da casa)"
132M,132,12.5,4,490.0,80.0,89.0,178.0,132.0,319.0,272.0,38.0,12.0,80.0,490.0,136.0,141.5,367.0,416.2,61.5,49.2,460.5,97.9,149.7,358.8,15.1,195.6,312.9,187.0,167.6,221.4,189.8,318.7,5.1,170.8,12.2,6.7,154.4,337.7,11.0,2,134.6,381.4,-132.0,18.0,12.0,169.0,347.0,120.0,120.0,46.2,"WEG W22 IR3 Premium, DXF individual 4 polos (desenho da casa)"
132M/L,132,15,4,515.0,80.0,89.0,178.0,132.0,319.0,272.0,38.0,12.0,80.0,515.0,136.0,145.2,384.5,436.7,65.2,52.2,483.7,97.9,153.9,375.8,15.1,202.7,327.1,187.0,167.6,230.0,196.4,333.3,5.1,176.4,12.2,6.7,154.4,353.4,11.0,2,134.6,381.4,-132.0,18.0,12.0,169.0,347.0,122.4,122.4,46.2,"WEG W22 IR3 Premium, DXF individual 4 polos (desenho da casa)"
160M,160,20,4,598.0,110.0,108.0,210.0,160.0,374.0,329.0,42.0,15.0,110.0,598.0,164.5,183.2,451.6,510.2,73.2,58.6,562.9,118.4,193.0,441.8,15.1,247.6,387.2,214.0,195.2,278.3,240.6,394.2,4.9,218.1,14.8,8.1,186.7,416.7,13.3,2,178.5,467.5,-160.0,22.0,15.0,218.0,428.0,157.6,157.6,55.9,"WEG W22 IR3 Premium, DXF individual 4 polos (desenho da casa)"
160L,160,25,4,642.0,110.0,108.0,254.0,160.0,374.0,329.0,42.0,15.0,110.0,642.0,164.5,189.8,482.4,546.2,79.8,63.8,603.7,118.4,200.4,471.8,15.1,260.0,412.2,214.0,195.2,293.5,252.4,419.8,4.9,227.8,14.8,8.1,186.7,444.4,13.3,2,178.5,511.5,-160.0,22.0,15.0,218.0,472.0,161.9,161.9,55.9,"WEG W22 IR3 Premium, DXF individual 4 polos (desenho da casa)"
180M,180,30,4,664.0,110.0,121.0,241.0,180.0,413.0,360.0,48.0,15.0,110.0,664.0,180.0,193.1,497.8,564.3,83.1,66.5,624.1,129.6,204.2,486.7,15.1,266.2,424.7,233.0,212.9,301.1,258.3,432.6,5.3,232.7,16.2,8.9,204.3,458.2,14.6,2,191.5,511.5,-180.0,25.0,15.0,231.0,472.0,164.0,164.0,61.2,"WEG W22 IR3 Premium, DXF individual 4 polos (desenho da casa)"
200M,200,40,4,729.0,110.0,133.0,267.0,200.0,464.0,402.0,55.0,19.0,110.0,729.0,201.0,202.8,543.3,617.6,92.8,74.3,684.4,144.7,215.2,530.9,15.1,284.6,461.6,264.0,240.1,323.5,275.7,470.4,6.3,247.1,18.1,9.9,228.1,499.0,16.3,2,196.7,556.3,-200.0,28.0,19.0,243.0,510.0,170.4,170.4,68.3,"WEG W22 IR3 Premium, DXF individual 4 polos (desenho da casa)"
200L,200,50,4,767.0,110.0,133.0,305.0,200.0,464.0,402.0,55.0,19.0,110.0,767.0,201.0,208.6,569.9,648.7,98.6,78.8,719.7,144.7,221.7,556.8,15.1,295.3,483.2,264.0,240.1,336.6,285.9,492.6,6.3,255.5,18.1,9.9,228.1,522.9,16.3,2,196.7,594.3,-200.0,28.0,19.0,243.0,548.0,174.1,174.1,68.3,"WEG W22 IR3 Premium, DXF individual 4 polos (desenho da casa)"
225S/M,225,60,4,886.0,140.0,149.0,311.0,225.0,550.0,403.0,60.0,19.0,140.0,886.0,201.5,251.9,662.2,751.7,111.9,89.5,832.3,145.1,266.8,647.3,15.1,350.4,563.7,325.0,278.1,397.3,339.7,574.4,12.3,305.2,18.1,10.0,228.7,608.9,16.3,2,240.3,648.7,-225.0,34.0,19.0,289.0,600.0,212.7,212.7,68.5,"WEG W22 IR3 Premium, DXF individual 4 polos (desenho da casa)"
225S/M,225,75,4,886.0,140.0,149.0,311.0,225.0,550.0,403.0,60.0,19.0,140.0,886.0,201.5,251.9,662.2,751.7,111.9,89.5,832.3,145.1,266.8,647.3,15.1,350.4,563.7,325.0,278.1,397.3,339.7,574.4,12.3,305.2,18.1,10.0,228.7,608.9,16.3,2,240.3,648.7,-225.0,34.0,19.0,289.0,600.0,212.7,212.7,68.5,"WEG W22 IR3 Premium, DXF individual 4 polos (desenho da casa)"
