# Folha de fabricante PLASSON, conexoes soldaveis (solvent weld) em PVC.
#
# Dez desenhos, com o codigo Plasson:
#
#   5010  luva                 5040  te 90            5050  curva 90
#   5090  bucha de reducao     5450  curva 45         5510  colar (stub) p/ 5500
#   5900  flange solta         5910  flange cega      5012  luva com rosca
#   5022  adaptador redutor    5062  adaptador macho  5212  adaptador macho
#
# As letras sao as da folha, e nem toda peca usa todas:
#
#   d    diametro nominal (externo do tubo)      D  a bitola maior, na reducao
#   G    a rosca, em polegada
#   E    diametro externo da conexao; na curva 45 e o comprimento da perna;
#        na flange solta e o furo dela; na flange cega e o diametro externo
#   E1   diametro externo do ressalto (colar) ou da flange
#   H    face a face: comprimento da luva, corrido do te, envelope da curva,
#        espessura da flange
#   I    profundidade da bolsa                   Z  folga do fundo da bolsa
#   B    espessura do ressalto ou do sextavado   C  diametro sobre o sextavado
#   Lt   comprimento da rosca                    L  comprimento da bolsa (5022)
#   Dp   circulo de furacao   S  diametro do furo   N  numero de furos
#   W    peso em grama
#
# A folha confere com a medida da casa onde as duas existem:
#
#   te soldavel 225   corrido 465 nas duas, e Z+I+E/2 = 362 = a altura medida
#   te soldavel 160   339 e 262 nos dois
#   colar 5510        E1 bate exato em 75, 90, 110, 160 e 225
#   flange solta      Dp, S e N sao os da NBR 7675 PN16 - 3" da 8 furos de 18
#                     em circulo de 160, que e o que a casa ja usava
#
# A curva 90 concorda em DN110 e DN225 e diverge de 5 a 8% em 75, 90, 125 e
# 160 - ver tools/conferir_plasson.py, que mostra o par em vez de escolher.
#
# Fonte: catalogo Plasson, desenhos 5010, 5012, 5022, 5040, 5050, 5062, 5090,
# 5212, 5450, 5510, 5900 e 5910.
familia,codigo,d_mm,d_menor_mm,rosca_pol,E_mm,E1_mm,H_mm,I_mm,Z_mm,B_mm,C_mm,Lt_mm,L_mm,Dp_mm,S_mm,furos,peso_g
LUVA,5010,16,,,23,,31,14,3,,,,,,,,9
LUVA,5010,20,,,28,,35,16,3,,,,,,,,15
LUVA,5010,25,,,34,,42,19,4,,,,,,,,24
LUVA,5010,32,,,42,,48,22,4,,,,,,,,38
LUVA,5010,40,,,51,,56,26,4,,,,,,,,61
LUVA,5010,50,,,62,,66,31,4,,,,,,,,94
LUVA,5010,63,,,77,,80,38,4,,,,,,,,167
LUVA,5010,75,,,88,,93,44,5,,,,,,,,210
LUVA,5010,90,,,105,,108,51,6,,,,,,,,345
LUVA,5010,110,,,126,,128,61,6,,,,,,,,525
LUVA,5010,125,,,143,,145,69,7,,,,,,,,790
LUVA,5010,140,,,161,,160,76,8,,,,,,,,1100
LUVA,5010,160,,,181,,181,86,9,,,,,,,,1400
LUVA,5010,200,,,228,,224,106,12,,,,,,,,3000
LUVA,5010,225,,,257,,257,119,19,,,,,,,,4600
TE,5040,16,,,23,,46,14,9,,,,,,,,18
TE,5040,20,,,28,,55,16,12,,,,,,,,29
TE,5040,25,,,34,,65,19,14,,,,,,,,44
TE,5040,32,,,42,,78,22,17,,,,,,,,72
TE,5040,40,,,51,,98,26,23,,,,,,,,132
TE,5040,50,,,62,,118,31,28,,,,,,,,212
TE,5040,63,,,77,,145,38,35,,,,,,,,386
TE,5040,75,,,90,,170,44,41,,,,,,,,590
TE,5040,90,,,108,,199,51,49,,,,,,,,970
TE,5040,110,,,132,,239,61,59,,,,,,,,1660
TE,5040,125,,,148,,269,69,66,,,,,,,,2170
TE,5040,140,,,162,,298,76,73,,,,,,,,2650
TE,5040,160,,,184,,339,86,84,,,,,,,,3550
TE,5040,200,,,232,,420,106,102,,,,,,,,7200
TE,5040,225,,,258,,465,119,114,,,,,,,,9700
CURVA_90,5050,16,,,23,,35,14,9,,,,,,,,13
CURVA_90,5050,20,,,28,,42,16,12,,,,,,,,21
CURVA_90,5050,25,,,34,,50,19,14,,,,,,,,32
CURVA_90,5050,32,,,42,,60,22,17,,,,,,,,53
CURVA_90,5050,40,,,51,,75,26,23,,,,,,,,100
CURVA_90,5050,50,,,62,,90,31,28,,,,,,,,161
CURVA_90,5050,63,,,77,,111,38,35,,,,,,,,300
CURVA_90,5050,75,,,91,,130,44,41,,,,,,,,450
CURVA_90,5050,90,,,108,,154,51,49,,,,,,,,730
CURVA_90,5050,110,,,132,,186,61,59,,,,,,,,1232
CURVA_90,5050,125,,,148,,209,69,66,,,,,,,,1620
CURVA_90,5050,140,,,162,,230,76,73,,,,,,,,1970
CURVA_90,5050,160,,,184,,262,86,84,,,,,,,,2850
CURVA_90,5050,200,,,232,,326,106,102,,,,,,,,5850
CURVA_90,5050,225,,,258,,363,119,115,,,,,,,,7500
CURVA_45,5450,16,,,23,,,14,,,,,,,,,13
CURVA_45,5450,20,,,28,,,16,,,,,,,,,20
CURVA_45,5450,25,,,34,,,19,,,,,,,,,29
CURVA_45,5450,32,,,42,,,22,,,,,,,,,48
CURVA_45,5450,40,,,52,,,26,,,,,,,,,92
CURVA_45,5450,50,,,61,,,31,,,,,,,,,122
CURVA_45,5450,63,,,77,,,38,,,,,,,,,233
CURVA_45,5450,75,,,91,,,44,,,,,,,,,366
CURVA_45,5450,90,,,109,,,51,,,,,,,,,590
CURVA_45,5450,110,,,132,,,61,,,,,,,,,990
CURVA_45,5450,125,,,148,,,69,,,,,,,,,1320
CURVA_45,5450,140,,,163,,,76,,,,,,,,,1620
CURVA_45,5450,160,,,184,,,86,,,,,,,,,2180
CURVA_45,5450,200,,,232,,,106,,,,,,,,,5000
CURVA_45,5450,225,,,258,,,119,,,,,,,,,6200
BUCHA_REDUCAO,5090,20,16,,,,16,14,2,,,,,,,,3
BUCHA_REDUCAO,5090,25,16,,,,19,14,5,,,,,,,,8
BUCHA_REDUCAO,5090,25,20,,,,19,16,3,,,,,,,,5
BUCHA_REDUCAO,5090,32,16,,,,22,14,8,,,,,,,,15
BUCHA_REDUCAO,5090,32,20,,,,22,16,6,,,,,,,,15
BUCHA_REDUCAO,5090,32,25,,,,22,19,3,,,,,,,,10
BUCHA_REDUCAO,5090,40,20,,,,26,16,10,,,,,,,,25
BUCHA_REDUCAO,5090,40,25,,,,26,19,7,,,,,,,,27
