cv,carcaca_2p,carcaca_4p,fonte
1.0,71,80,GSD desenho 406.1 folha 2 (rev. 10)
1.5,,L80,GSD desenho 406.1 folha 2 (rev. 10)
2.0,,L90S,GSD desenho 406.1 folha 2 (rev. 10)
3.0,L90S,L90L,GSD desenho 406.1 folha 2 (rev. 10)
4.0,L90L,L100L,GSD desenho 406.1 folha 2 (rev. 10)
5.0,100L,L100L,GSD desenho 406.1 folha 2 (rev. 10)
6.0,,112M,GSD desenho 406.1 folha 2 (rev. 10)
7.5,,L112M,GSD desenho 406.1 folha 2 (rev. 10)
10.0,132S,132S,GSD desenho 406.1 folha 2 (rev. 10)
12.5,132M,132M,GSD desenho 406.1 folha 2 (rev. 10)
15.0,132M/L,132M/L,GSD desenho 406.1 folha 2 (rev. 10)
20.0,,160M,GSD desenho 406.1 folha 2 (rev. 10)
25.0,,160L,GSD desenho 406.1 folha 2 (rev. 10)
30.0,160L,L160L,GSD desenho 406.1 folha 2 (rev. 10)
40.0,200M,200M,GSD desenho 406.1 folha 2 (rev. 10)
50.0,200L,200L,GSD desenho 406.1 folha 2 (rev. 10)
100.0,,250S/M,GSD desenho 406.1 folha 2 (rev. 10)
125.0,,280S/M,GSD desenho 406.1 folha 2 (rev. 10)
