item,nome_peca,qtd
1,"CRIVO FOFO   12"" FL P/ VALVULA PE",1
2,"Valvula de  Retenção - Uniflap - 12""",1
3,"Tubo AZ 12"" -1m",1
4,"Red Exc AZ 12""x 6""",1
5,TopLevelAssembly,2
6,"Red Con AZ 10"" x 5""",2
7,"Tubo AZ 10"" -1m",3
8,"Flange AZ 10""",2
9,"Tubo PEAD 10""",9
10,"VALVULA VENTOSA 2""",2
11,"Tubo AZ 10"" -6.00m",2
12,"Curva AZ 10"" - 45º",2
13,"Tubo AZ 10"" -3m",2
14,"Red Exc AZ 10""x 6""",1
15,"Tubo AZ 10"" -1m",1
16,"Curva AZ 10"" - 90º c/ saida de 2""",1
17,Retrolavagem v4,1
18,"Red Con AZ 10"" x 8""",2
19,"FILTRO 6 x 36""",1
20,"Curva AZ 10"" - 90º",2
21,"Tubo AZ 10"" -2m",2
22,"Valvula Hidraulica - Dorot 47-10""",1
23,"Hydrometro 10""",1
24,"Luva galv. 2""",5
25,"Valvula de  Retenção - Uniflap - 10""",1
26,"Te AZ 10"" -1000mm",2
27,"Valvula Hidraulica - Dorot 47-6""",1
28,"Red Con AZ 10"" x 6""",1
29,"Flange Cega 10""",1
30,Extremidade Defofo 250,1
31,Base,1
