# Bitola e comprimento de parafuso por contexto de junta.
#
# AZ_AZ e BOMBA sao CALCULADOS, e nao arbitrados - a conta esta em
# tools/conferir_flanges.py e e a mesma que o desenho usa:
#
#   bitola:      o maior parafuso que entra no furo da flange com folga de
#                1,5 a 4,5 mm. Furo 18 -> 5/8" ; 22 -> 3/4" ; 26 -> 7/8" ;
#                31 -> 1 1/8".
#   comprimento: chapa + chapa + arruela + porca + 3 fios de rosca, arredondado
#                para cima na medida comercial. A espessura da chapa vem da
#                folha Netafim (16 mm ate 10", 21 ate 16", 28 acima), e e ela
#                que faz o comprimento subir com a bitola.
#
# A tabela ANTERIOR era 5/8"x2 1/2" ate 5" e 3/4"x2 1/2" acima, para tudo. Ela
# fechava ate 10" e nao fechava daí para cima: em 12" e 14" sobrava menos de um
# fio, e em 18" faltavam 11 mm. Ver o commit que a substituiu.
#
# BOMBA mantem o acrescimo de 1" que a casa usa sobre a junta de aco - o flange
# da bomba e mais grosso que o da linha, e nao ha ficha dele aqui.
#
# O comprimento arredonda para o que a LISTA TEM, e nao para a medida da conta:
# a casa compra por codigo. 7/8" x 4 1/2" fecharia a junta de 20" da bomba e nao
# existe na lista (ha 4" e 5"), entao a linha pede 5". Toda linha daqui e
# resolvida em SAP por tools/conferir_flanges.py - uma medida que nao se compra
# nao passa.
#
# PLASSON_PLASSON e ACO_PLASSON continuam como a casa informou: nao ha
# espessura de flange solta Plasson no programa, entao a conta acima nao roda
# nesses dois e eles NAO estao verificados.
#
# MISTO e o que sobra (ex.: PEAD, que entra por colar de tomada): sem regra
# fechada, as linhas abaixo sao chute e o motor avisa toda vez que cai nelas.
# dn_max_pol e o limite superior da faixa, em polegada (Plasson convertido).
contexto,dn_max_pol,bitola_pol,comprimento_pol,homologado,observacao
AZ_AZ,5,5/8,2 1/2,SIM,chapa 16+16 - sobra 8 mm de rosca
AZ_AZ,10,3/4,2 1/2,SIM,chapa 16+16 - sobra 12 mm de rosca
AZ_AZ,14,3/4,3,SIM,chapa 21+21 - o 2 1/2 nao fechava
AZ_AZ,16,7/8,3,SIM,furo 26 - o 3/4 ficava frouxo
AZ_AZ,20,7/8,3 1/2,SIM,chapa 28+28
AZ_AZ,99,1 1/8,4,SIM,furo 31 e chapa 28+28
BOMBA,5,5/8,3 1/2,SIM,junta de aco + 1 para o flange da bomba
BOMBA,10,3/4,3 1/2,SIM,junta de aco + 1 para o flange da bomba
BOMBA,14,3/4,4,SIM,junta de aco + 1 para o flange da bomba
BOMBA,16,7/8,4,SIM,junta de aco + 1 para o flange da bomba
BOMBA,20,7/8,5,SIM,junta de aco + 1 arredondado para 5 - nao ha 7/8 x 4 1/2 na lista
BOMBA,99,1 1/8,5,SIM,junta de aco + 1 para o flange da bomba
PLASSON_PLASSON,4,5/8,4,SIM,ate 110 mm - informado pela casa, nao verificado
PLASSON_PLASSON,99,3/4,5,SIM,acima de 110 mm - informado pela casa, nao verificado
ACO_PLASSON,5,5/8,3 1/2,SIM,aco contra flange Plasson - nao verificado
ACO_PLASSON,99,3/4,3 1/2,SIM,aco contra flange Plasson - nao verificado
MISTO,5,5/8,3 1/2,NAO,SEM REGRA - o que nao cai nos casos acima
MISTO,99,3/4,3 1/2,NAO,SEM REGRA - o que nao cai nos casos acima
