# GERADO por tools/gerar_furacao.py - nao edite a mao,
# edite as tabelas do script e rode de novo.
# 8" (DN200) NBR PN16 = 12 furos: confirmado pelo Rogerio.
# O resto e referencia normativa e precisa de conferencia.
norma,dn_mm,dn_pol,furos,parafuso_norma,bitola_unc_pol,furo_mm,circulo_mm,esp_flange_mm,fonte,homologado
EN PN10,50,2,4,M16,5/8,18,125,20,EN 1092-1,NAO
NBR PN10,50,2,4,M16,5/8,18,125,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,50,2,4,M16,5/8,18,125,20,EN 1092-1,NAO
NBR PN16,50,2,4,M16,5/8,18,125,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,50,2,4,M16,5/8,18,125,20,EN 1092-1,NAO
NBR PN25,50,2,4,M16,5/8,18,125,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN40,50,2,4,M16,5/8,18,125,20,EN 1092-1,NAO
NBR PN40,50,2,4,M16,5/8,18,125,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,65,2.5,4,M16,5/8,18,145,20,EN 1092-1,NAO
NBR PN10,65,2.5,4,M16,5/8,18,145,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,65,2.5,4,M16,5/8,18,145,20,EN 1092-1,NAO
NBR PN16,65,2.5,4,M16,5/8,18,145,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,65,2.5,8,M16,5/8,18,145,20,EN 1092-1,NAO
NBR PN25,65,2.5,8,M16,5/8,18,145,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN40,65,2.5,8,M16,5/8,18,145,20,EN 1092-1,NAO
NBR PN40,65,2.5,8,M16,5/8,18,145,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,80,3,8,M16,5/8,18,160,20,EN 1092-1,NAO
NBR PN10,80,3,8,M16,5/8,18,160,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,80,3,8,M16,5/8,18,160,20,EN 1092-1,NAO
NBR PN16,80,3,8,M16,5/8,18,160,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,80,3,8,M16,5/8,18,160,20,EN 1092-1,NAO
NBR PN25,80,3,8,M16,5/8,18,160,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN40,80,3,8,M16,5/8,18,160,20,EN 1092-1,NAO
NBR PN40,80,3,8,M16,5/8,18,160,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,100,4,8,M16,5/8,18,180,20,EN 1092-1,NAO
NBR PN10,100,4,8,M16,5/8,18,180,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
